8bit2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07; measurement re-asked by hq_R 2026-09-11 because the row quoted the empty string): sbl -bf rc=1: 8bit2.sno(1,2) : ERROR 230 -- syntax error: illegal character; source checked 2026-09-11 (hq_R): line 1 `tude = 'fran\xc9ais'` carries 8-bit Latin-1 bytes (0xC9 at column 2); CSNOBOL4 accepts them in source, SPITBOL does not	
alis.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07; the keytrace class, ceo 2026-09-08 17:38 applied by class by the cto, ORACLE_ACCEPTANCE census): sbl -bf answers with a fatal LISTING (alis.sno(57,14) ERROR 230 illegal character) -- RULING R5 forbids grading a listing; the sbl-cut .ref was that listing and is removed.	
base.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
breakline.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
conv2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
crlf.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07; measurement re-asked by hq_R 2026-09-11 because the row quoted the No-END certificate, which SPITBOL prints after aborting and which names no cause): sbl -bf rc=1: crlf.sno(1,30) : ERROR 230 -- syntax error: illegal character; source checked 2026-09-11 (hq_R): line 1 ends with a literal CR (0x0D) at column 30 -- the file has CRLF endings, which is the whole point of the program; SPITBOL reads the CR as an illegal character	
diag1.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07): sbl -bf rc=1: No END statement found in source file(s).	
diag2.sno	ORACLE_REFUSES	outside the SPITBOL baseline (Lon 2026-09-07; measurement re-asked by hq_R 2026-09-11 because the row quoted the empty string): sbl -bf rc=1: diag2.sno(232) : ERROR 214 -- bad label or misplaced continuation line; source checked 2026-09-11 (hq_R): line 232 is a `.`-in-column-1 continuation, a CSNOBOL4 form SPITBOL does not accept	
digits.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): digits.sno(3) : ERROR 251 -- keyword operand is not name of defined keyword. Missing feature by name: &DIGITS -- zero hits in the SPITBOL v3.7 manual, a CSNOBOL4-only keyword.	
file.sno	ORACLE_REFUSES	outside the SPITBOL baseline (ceo CEO-441, hq_S adjudication A-P, re-measured by hq_B; live oracle sbl -bf, swap stamp 20260909T033439Z): file.sno(9) : ERROR 022 -- undefined function called. Missing feature by name: FILE / FILE_ISDIR / FILE_ABSPATH -- zero hits in the SPITBOL v3.7 manual; APPLY itself IS a SPITBOL builtin, so the 022 is the applied function, not the applier.	
